Site_Id,Latitude,Longitude,Site_Name,Type,Ln(Median_Sz),D75,Distance along river (km),Median_Siz,LN D75
WC-001,35.972311,-81.76539,Harper Bridge,Bar,4.119037175,98,19.48549945,61.5,4.584967479
WC-002,35.973095,-81.763722,Landslide Bend,Bar,4.382026635,135,20.01055642,80,4.905274778
WC-002 2,35.973095,-81.763722,Landslide Bend,Bar,4.527208645,139.25,20.01055642,92.5,4.936270879
WC-003,35.98116,-81.762474,First Crossing,Bar,4.119037175,106.5,25.30753436,61.5,4.668144985
WC-003 2,35.98116,-81.762474,First Crossing,Bar,4.363098625,109.25,25.30753436,78.5,4.693638834
WC-004,35.9831185,-81.7582925,Harper Parking,Channel,4.189654742,114.5,14.93486012,66,4.740574823
WC-004 2,35.9831185,-81.7582925,Harper Parking,Bar,4.406719247,119.5,14.93486012,82,4.783316371
WC-005,35.898747,-81.715933,Gage Site,Bar,4.33073334,145.5,20.45363974,76,4.980176087
WC-006,35.965107,-81.759302,Cabin Bar,Bar,3.091042453,54.5,39.04573394,22,3.998200702
WC-007A,35.9685368,-81.7603106,Camp Bend A,Channel,4.787491743,163.25,47.16239544,120,5.095282768
WC-007-B,35.96882,-81.760192,Camp Bend B,Bar,4.510859507,135.25,16.79951892,91,4.907124918
WC-007-B 2,35.96882,-81.760192,Camp Bend B,Channel,4.753590191,159.25,16.79951892,116,5.070475294
WC-008-A,35.998412,-81.769423,High Bridge A,Bar,4.40060302,117.25,26.13681742,81.5,4.764308407
WC-008-B,35.99876,-81.769678,High Bridge B,Channel,4.649187071,153.75,0.8896100262,104.5,5.035327907
WC-008-B 2,35.99876,-81.769678,High Bridge B,Channel,4.412798293,112.75,0.8896100262,82.5,4.725172978
WC-008-C,35.998339,-81.768867,High Bridge C,Bar,4.363098625,123.25,2.043066158,78.5,4.814214813
WC-008-C 2,35.998339,-81.768867,High Bridge C,Bar,4.382026635,116,2.043066158,80,4.753590191
WC-009,36.013725,-81.805292,Huntcross Upper,Channel,4.600157644,163.5,1.391131551,99.5,5.09681299
WC-009 2,36.013725,-81.805292,Huntcross Upper,Bar,4.388257184,170,1.391131551,80.5,5.135798437
WC-011,36.015446,-81.8001145,Center Bar,Channel,4.634728988,166,9.02689901,103,5.111987788
WC-011 2,36.015446,-81.8001145,Center Bar,Bar,4.844187086,203,9.02689901,127,5.313205979
WC-012-A,36.016121,-81.7974997,Woody Bend A,Bar,4.516338972,170.25,29.71227157,91.5,5.137267945
WC-012-B,36.016121,-81.7974997,Woody Bend B,Bar,4.987025428,197.5,29.71227157,146.5,5.285738584
WC-012,36.016121,-81.7974997,Woody Bend,Channel,4.629862799,169.75,29.71227157,102.5,5.134326766